case_id,scenario,bill_type,patient_context,service_category,key_edge_case,expected_agent_focus,source_docs_to_reference
SYN-001,Simple uninsured outpatient lab bill,Hospital statement,Uninsured adult; household size 1; income unknown,Laboratory,Patient sees total due but does not understand discounts,Explain charges vs patient balance; mention self-pay/financial assistance pathways,billing-faq.pdf; amounts-generally-billed.pdf; plain-language-summary-english.pdf
SYN-002,Insured ER visit with deductible remaining,Hospital bill + EOB,Commercially insured adult; deductible not met,Emergency,Patient thinks insurance did not pay enough,"Explain allowed amount, deductible, adjustment, patient responsibility",key-definitions-glossary.pdf; billing-faq.pdf
SYN-003,Hospital bill plus separate physician bill,Multiple bills,Insured adult with hospital and physician charges,Physician + hospital services,Patient receives more than one bill for same visit,Explain separate billing entities and who to call,sample_bill_jpeg.jpg; billing-faq.pdf
SYN-004,EOB confused as a bill,EOB only,Insured adult,Insurance claim summary,EOB says not a bill but includes patient responsibility,Distinguish EOB from bill; explain waiting for provider statement,key-definitions-glossary.pdf
SYN-005,Denied claim due to missing information,EOB + bill,Insured adult,Imaging,Denial reason unclear,Explain denial at a high level; suggest insurer/provider follow-up questions,billing-faq.pdf; key-definitions-glossary.pdf
SYN-006,Patient below 400 percent FPL,Hospital statement,Uninsured or underinsured; household size 3; low income,Outpatient procedure,Potential charity care eligibility,Calculate/estimate FPL tier; point to FAP application and patient services,fpl-percentage.pdf; full-fap-english.pdf; fap-application-english.pdf
SYN-007,Patient between 400 and 600 percent FPL,Hospital statement,Underinsured; household size 4; moderate income,Emergency or outpatient,Discount tier may apply,Explain possible discounted care tier with uncertainty and source citation,fpl-percentage.pdf; full-fap-english.pdf
SYN-008,Medicare patient asks about help,Hospital statement,Older adult; Medicare coverage,Inpatient or ER,Patient asks about federal funding/assistance,Avoid overpromising; explain billing basics and direct to patient services/resources,billing-faq.pdf; plain-language-summary-english.pdf
SYN-009,Spanish-preferred patient,Hospital statement,Preferred language Spanish; low health literacy,Lab or imaging,Language access and comprehension,Use plain language; identify need for translated/accessibility support,plain-language-summary-english.pdf
SYN-010,Poor-quality phone photo of bill,Image upload,Any patient profile,Unknown/OCR,Blurred/cropped image,Detect uncertainty; ask for clearer image or specific missing fields,sample_bill_jpeg.jpg
SYN-011,Charge appears high compared with expectations,Itemized bill,Insured or uninsured adult,Common outpatient procedure,Patient asks if charge is fair or wrong,Explain chargemaster vs allowed/patient amount; avoid definitive fairness claim,cedars-sinai-chargemaster-july-2024.xlsx; cedars-sinai-25-common-op-procedures-2024.xlsx
