case_id,scenario,bill_type,patient_context,service_category,key_billing_concept,key_edge_case,expected_agent_focus,source_docs_to_reference
CODE-001,UB-04 facility bill received alongside CMS-1500 physician bill for same ER visit,UB-04 + CMS-1500,Commercially insured adult; first ER visit ever,Emergency Department,UB-04 vs CMS-1500 distinction,Patient receives two separate bills from two different entities for the same visit and thinks they are being billed twice,Explain that hospitals (UB-04) and physicians (CMS-1500) bill separately; verify both are for the same visit date; total them to show true patient responsibility,billing-faq.pdf; key-definitions-glossary.pdf; sample_bill_jpeg.jpg
CODE-002,Revenue code on UB-04 not recognized by patient,UB-04 itemized bill,Insured adult; first time receiving UB-04,Outpatient Surgery,Revenue code translation,Patient sees revenue code 0360 (Operating Room) and 0272 (Medical/Surgical Supplies) with no plain-language description; does not know what department charged them,Translate revenue codes to department names in plain language; explain that UB-04 uses department codes instead of service descriptions that most patients expect,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
CODE-003,Patient frightened by ICD-10 diagnosis code on EOB,EOB,Insured adult; received EOB with unfamiliar diagnosis code,Outpatient procedure,ICD-10 code patient communication,Patient sees K80.20 on their EOB and fears it means something serious; agent must explain billing-code context without providing a clinical interpretation,"Translate ICD-10 code to plain-language billing description (e.g., 'gallstones without current inflammation'); explain this is used for billing/insurance purposes; strongly recommend discussing clinical meaning with their physician — not the agent's role",key-definitions-glossary.pdf; billing-faq.pdf
CODE-004,HCPCS supply code on itemized bill — patient does not recognize the item,UB-04 itemized bill,Insured adult; inpatient stay,Inpatient / Pharmacy/Supply,HCPCS Level II supply code translation,Patient sees HCPCS code A6216 (gauze dressing) and J0696 (Ceftriaxone injection) with cryptic descriptions and asks what they were charged for,"Translate HCPCS supply/drug codes to plain descriptions (gauze dressing, antibiotic injection); explain these represent supplies and medications used during care; note quantity and unit charge",cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
CODE-005,CPT code for procedure patient does not remember consenting to,CMS-1500,Insured adult; post-surgery,Outpatient Surgery,CPT code patient recognition,Patient sees CPT 64483 (paravertebral nerve block injection) on bill and says they were never told this would happen; agent must explain the code without validating or dismissing the patient's concern,Translate CPT code to plain procedure description; explain this is what the provider billed; recommend patient call billing/provider to confirm services performed match surgical consent documentation — do not take a position on whether it was appropriate,cedars-sinai-chargemaster-july-2024.xlsx; billing-faq.pdf
CODE-006,Unknown CPT code not in chargemaster or knowledge docs,UB-04,Insured adult; specialty procedure,Specialty / Rare Procedure,Agent knowledge boundary for unknown CPT,Line item contains CPT code 0505T (a newer temporary code for a rare procedure) that is not in the knowledge base; agent cannot verify what it represents,Explicitly state the code could not be verified in available references; avoid inventing a description; recommend patient ask billing department for a plain-language explanation and itemized bill; do not hallucinate,cedars-sinai-chargemaster-july-2024.xlsx; billing-faq.pdf
CODE-007,Missing CPT code — description only on line item,UB-04,Any patient profile,Outpatient procedure,Incomplete line item — code absent,A line item has a description ('LAPAROSCOPIC PROCEDURE') but the CPT code field is blank; agent cannot cross-reference a missing code,Explain based on description text alone; note that the missing code limits the agent's ability to verify the charge; recommend requesting an itemized bill with complete codes from billing; do not guess the CPT code,billing-faq.pdf; key-definitions-glossary.pdf
CODE-008,Modifier -25 makes patient think E&M visit is a duplicate charge,CMS-1500,Commercially insured adult; office visit + minor procedure same day,Physician — Office Visit + Procedure,CPT Modifier -25 (significant separate E&M),Bill shows 99213-25 (office visit) AND 11200 (skin tag removal) on the same date; patient thinks the office visit was billed twice,"Explain that modifier -25 means the visit was a distinct, significant evaluation separate from the procedure — not a duplicate; the patient is being charged for two separate services that happened on the same day, which is legitimate when properly documented",key-definitions-glossary.pdf; billing-faq.pdf
CODE-009,Modifier -50 bilateral procedure makes patient think they were charged twice,CMS-1500,Insured adult; bilateral knee procedure,Outpatient Surgery — Bilateral,CPT Modifier -50 (bilateral),CMS-1500 shows CPT 29881-50 with quantity 2 and double the unit charge; patient says 'I only had one surgery',"Explain that -50 means the procedure was performed on both sides (e.g., both knees); quantity 2 reflects bilateral billing, not a duplicate; total charge is approximately double a single-side procedure, which is expected",key-definitions-glossary.pdf; cedars-sinai-chargemaster-july-2024.xlsx
CODE-010,Modifier -59 flags make patient suspect unbundling or overcharging,CMS-1500,Insured adult; multi-step procedure,Outpatient Surgery,CPT Modifier -59 (distinct procedural service),"Bill shows multiple CPT codes with -59 modifiers (e.g., 27447-59, 27370-59); patient has read online that -59 modifiers can sometimes indicate improper unbundling","Explain that -59 indicates each code was a genuinely distinct service, not a bundled component — it is often correct; however, patient concern is valid to raise with billing; recommend requesting an itemized bill with documentation and asking provider to confirm each code was separately performed",key-definitions-glossary.pdf; billing-faq.pdf
CODE-011,Inpatient DRG bill has one large charge instead of itemized services,UB-04 Inpatient,Insured adult; 4-day inpatient admission,Inpatient — Medical/Surgical,DRG (Diagnosis Related Group) bundled inpatient billing,"Patient expected to see every IV bag, every nurse visit, every test itemized; sees one DRG line for $42,000 and does not understand the lump-sum billing","Explain that Medicare and many commercial plans pay hospitals a fixed DRG rate for the entire admission — this bundles all services into one payment; the $42,000 is what Medicare/insurance agreed to pay the hospital for this type of case, not a per-service tally; patient responsibility comes from deductible/coinsurance applied to the DRG rate, not each individual item",key-definitions-glossary.pdf; billing-faq.pdf; cedars-sinai-chargemaster-july-2024.xlsx
